Date,Close,High,Low,Open,Volume,rsi,EMA_SLOW,EMA_FAST,macd,Signal_line,middle_band,upper_band,lower_band,above_bb_high,below_bb_low,TR,+DM,-DM,Smoothed +DM,Smoothed -DM,Smoothed TR,+DI,-DI,DX,ADX,OBV,PVT,Signal Line_PVT,VROC,rolling_min,rolling_max,%K,%D,MA_FAST,MA_SLOW,intraday_momentum,volume_weighted_return,money_flow_volume,upper_shadow_ratio,lower_shadow_ratio,close_position_in_range,day_of_week,month,quarter,day_of_year,week_of_year,is_quarter_end,is_quarter_start,is_last_day_of_month,is_first_day_of_month,days_from_month_start,days_to_month_end
2020-08-04,99.13333129882812,101.82733154296876,97.46666717529295,99.6673355102539,126225000,46.286764764127824,93.9959020565571,98.6926461169236,4.696744060366498,6.229441577848024,100.01790046691895,108.76324127541008,91.27255965842781,0,0,4.36066436767581,1.173332214355483,0.0,16.88999938964845,15.726669311523438,92.80063629150388,18.20030558475252,16.946725733779537,3.566673496865168,,1239613500.0,104344611.21286784,105146927.07688317,,94.46666717529295,109.53333282470705,30.973436539468484,22.38348040173834,99.51900024414063,,-0.5340042114257812,169997.40600586476,-29737556.159399047,0.021788797009008654,0.016812348596891638,0.3822041733061524,1,8,3,217,32,0,0,0,0,3,27
2020-08-05,99.00133514404295,99.98933410644533,97.88733673095705,99.5326690673828,74217000,48.960334596622225,94.36667487785235,98.74013673648042,4.373461858628076,5.858245634004035,100.41503372192383,108.10502696890272,92.72504047494495,0,0,2.1019973754882812,0.0,-0.4206695556640909,16.88999938964845,15.90599822998044,89.5686340332031,18.857046969575674,17.75844680637207,3.000369652054944,49.99844833051679,1165396500.0,104245791.18441384,104259311.1740089,,94.46666717529295,109.53333282470705,30.09735580696545,30.386428859098245,98.8036003112793,,-0.5313339233398438,-98820.02845400997,4448769.202064354,0.004612715963395565,0.011252357469245872,0.5299713599915511,2,8,3,218,32,0,0,0,0,4,26
2020-08-06,99.30533599853516,101.15399932861328,98.48400115966795,99.38866424560548,89884500,49.25485987130617,94.73250162753256,98.82709046910423,4.094588841571678,5.505514275517564,100.73270034790039,107.60617872241896,93.85922197338182,0,0,2.6699981689453267,1.1646652221679545,0.0,17.667999267578125,15.90599822998044,89.07130432128905,19.835792685653168,17.857601110909886,5.248112137155599,43.75285931711892,1255281000.0,104521797.207624,105454955.8743141,,94.46666717529295,109.53333282470705,32.11506072964702,31.06195102536032,98.64700088500976,,-0.08332824707032671,276006.02321016125,-34584633.239234544,0.0177768401373323,0.008270802676671967,0.3076162543270484,3,8,3,219,32,0,0,0,0,5,25
2020-08-07,96.84733581542967,99.98332977294922,94.33399963378906,99.96932983398438,133446000,35.368381260380104,94.88915601182123,98.52251283007737,3.6333568182561464,5.131082784065281,100.42623367309571,107.42389603418069,93.42857131201073,0,0,5.649330139160156,0.0,4.150001525878892,10.168663024902344,20.055999755859332,83.9206314086914,12.117000139549958,23.898771278527576,32.7128107356433,39.40691489672009,1121835000.0,101218749.19780172,103969351.13288558,,94.46666717529295,106.15533447265624,20.367323147898546,27.52657989483701,98.88506774902342,,-3.1219940185547017,-3303048.009822286,-14708148.995734097,0.00014455677944594236,0.025951526288456477,0.44489100747886895,4,8,3,220,32,0,0,0,0,6,24
2020-08-10,94.5713348388672,97.16666412353516,92.38933563232422,96.53333282470705,112834500,37.71749405855472,94.86561370271353,97.91463929296812,3.049025590254587,4.714671345303143,100.16460037231445,107.63550111369257,92.69369963093634,0,0,4.7773284912109375,0.0,1.9446640014648438,8.501998901367188,22.000663757324176,80.89796447753906,10.509533776622684,27.195571482435206,44.25405416897501,35.912493833820214,1009000500.0,98567035.23966697,103269138.7730512,,94.46666717529295,106.15533447265624,0.8954627667249798,17.792615548090183,98.07820129394531,,-1.9619979858398438,-2651713.958134751,-9762337.400153773,0.00669686327088675,0.02307252202826573,0.45674045776628064,0,8,3,223,33,0,0,0,0,9,21
2020-08-11,91.6259994506836,94.66666412353516,91.0,93.06666564941406,129387000,32.702616439657675,94.62564227663724,96.94715624030897,2.321513963671734,4.236039868976861,99.68990020751953,108.0578378524358,91.32196256260326,0,0,3.6666641235351562,0.0,1.3893356323242188,8.501998901367188,23.656661987304645,80.26995849609375,10.591756942020753,29.4713768768871,47.124670826314855,32.58513162661809,879613500.0,94537398.66405746,101880487.70392829,-4.438092705840646,91.6259994506836,102.63999938964844,0.0,7.087595304874511,97.3975341796875,,-1.4406661987304688,-4029636.575609504,-85207228.62048075,0.017462275811874203,0.006832115931812651,0.17072724086131288,1,8,3,224,33,0,0,0,0,10,20
2020-08-12,103.65066528320312,105.66666412353516,95.66666412353516,98.0,327441000,52.85122517378874,95.29416249934582,97.97846532383114,2.6843028244853286,3.925692460078555,99.71906700134278,108.14046737233387,91.29766663035169,0,0,14.040664672851562,11.0,0.0,19.501998901367188,18.241333007812457,80.42862701416016,24.24758400753713,22.680149699187222,3.340102290354817,27.53421171033321,1207054500.0,137509574.99469885,105364976.78202713,29.02680497680055,91.6259994506836,103.65066528320312,100.0,33.631820922241666,97.76853408813477,,5.650665283203125,42972176.33064139,195416864.549151,0.019449936328235322,0.02251153786485008,0.7984001151683967,2,8,3,225,33,0,0,0,0,11,19
2020-08-13,108.06666564941406,110.07866668701172,104.48400115966795,107.4000015258789,306379500,64.54525114720838,96.24027384379532,99.5304961431516,3.290222299356273,3.798598427934099,100.12026710510254,109.33385413128215,90.90668007892293,0,0,6.428001403808594,4.4120025634765625,0.0,23.91400146484375,10.625999450683565,77.08796691894531,31.021704710397014,13.784251778045137,38.471342391269644,27.129103496157285,1513434000.0,150562766.5058466,111075815.33487102,53.263699735122195,91.6259994506836,108.06666564941406,100.0,66.66666666666667,98.65860061645508,,0.6666641235351562,13053191.511147734,86013914.49148001,0.018618146727490743,0.026983347255305355,0.6403715228072572,3,8,3,226,33,0,0,0,0,12,18
2020-08-14,110.04733276367188,111.25333404541016,108.44266510009766,110.99933624267578,188664000,59.131782146630094,97.26301894897136,101.14847100784702,3.885452058875657,3.815969154122411,100.61983375549316,110.84652276546164,90.39314474552468,0,0,3.1866683959960938,1.1746673583984375,0.0,19.559333801269545,10.625999450683565,71.27863311767581,27.440669027671333,14.9076925102377,29.594950223078815,25.93909988246557,1702098000.0,154020637.4246794,116614262.40351743,-27.08679949681451,91.6259994506836,110.04733276367188,100.0,100.0,100.12493362426758,,-0.9520034790039062,3457870.9188328097,26760175.40967672,0.00230807777283215,0.014581613412425434,0.5709201934084785,4,8,3,227,33,0,0,0,0,13,17
2020-08-17,122.3759994506836,123.05733489990234,111.52200317382812,111.8000030517578,303634500,74.59291566047527,99.12323972687597,104.41424461443727,5.2910048875613,4.110976300810189,101.261967086792,114.8917574029982,87.6321767705858,1,0,13.010002136230469,11.804000854492188,0.0,30.246002197265625,10.625999450683565,78.26997375488286,38.6431740631301,13.576086640786263,48.003527978832224,25.660986179907017,2005732500.0,188036987.03686383,125913415.2728503,-1.5926183403905707,91.6259994506836,122.3759994506836,100.0,100.0,102.46253356933593,,10.575996398925795,34016349.612184435,267766099.3840002,0.00556755779091836,0.002271686271448903,0.940934905487978,0,8,3,230,34,0,0,0,0,16,14
2020-08-18,125.80599975585938,128.25999450683594,123.00733184814452,126.59933471679688,247117500,75.55796024284959,101.09974046976362,107.70528386696374,6.6055433972001225,4.6098897200881765,102.32440032958985,119.80454200691119,84.84425865226851,1,0,5.883995056152344,5.202659606933594,0.0,35.44866180419922,11.464660644531207,80.26597595214848,44.163995246668854,14.283338000357713,51.12407288117167,25.40121967081173,2252850000.0,194963288.79716823,135993137.229823,-23.33769201059112,91.6259994506836,125.80599975585938,100.0,100.0,105.12980041503906,,-0.7933349609375,6926301.760304394,16215541.370657839,0.013200163689567725,0.022245901729039372,0.5328093738812436,1,8,3,231,34,0,0,0,0,17,13
